"Mannfjöldi eftir sveitarfélagi, kyni og aldri 1. desember 1997-2014"

"Sveitarfélag";"Aldur";"2004 Alls";"2005 Alls";"2006 Alls";"2007 Alls";"2008 Alls";"2009 Alls";"2010 Alls";"2011 Alls";"2012 Alls";"2013 Alls";"2014 Alls"
"Bólstaðarhlíðarhreppur";"Alls";113;115;-;-;-;-;-;-;-;-;-
"Engihlíðarhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Vindhælishreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Sveitarfélagið Skagaströnd";"Alls";562;545;534;526;523;519;531;506;508;496;490
"Skagahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Skagabyggð";"Alls";101;99;96;106;102;106;105;104;100;98;99
"Húnavatnshreppur";"Alls";-;-;463;451;426;433;419;413;404;411;416
"Skefilsstaðahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Skarðshreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Staðarhreppur (Skagafjarðarsýslu)";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Seyluhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Lýtingsstaðahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Akrahreppur";"Alls";215;225;222;204;217;208;205;197;195;208;195
"Rípurhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Viðvíkurhreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Hólahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Hofshreppur (Skagafjarðarsýslu)";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Fljótahreppur";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Akureyri";"Alls";16450;16736;16822;17253;17522;17563;17728;17869;17956;18073;18195
"Norðurþing";"Alls";2426;2373;3023;2970;2998;2929;2917;2880;2863;2826;2806
"Ólafsfjarðarbær";"Alls";980;946;-;-;-;-;-;-;-;-;-
"Fjallabyggð";"Alls";-;-;2261;2188;2129;2082;2037;2050;2013;2016;2041
"Dalvík";"Alls";-;-;-;-;-;-;-;-;-;-;-
"Dalvíkurbyggð";"Alls";1946;1927;1966;1951;1942;1951;1958;1914;1859;1862;1857
