"Mannfjöldi eftir sveitarfélögum 1901-1990"

"Sveitarfélag";"1901 1. nóvember";"1910 1. desember";"1920 1. desember";"1930 2. desember";"1940 2. desember";"1950 1. desember";"1960 1. desember";"1970 1. desember";"1980 1. desember";"1990 1. desember"
"Tálknafjarğarhreppur";325;321;332;275;248;180;212;236;340;371
"Ketildalahreppur (1987)";262;209;246;204;178;73;58;33;26;.
"Suğurfjarğahreppur (1987)";469;449;482;443;417;438;437;362;349;.
"Bíldudalshreppur (1987)";.;.;.;.;.;.;.;.;.;372
"Auğkúluhreppur (1990)";319;294;253;201;154;90;53;41;33;.
"Şingeyrarhreppur (1990)";630;755;790;706;645;486;471;463;477;487
"Mırahreppur";502;414;389;344;313;216;196;163;146;77
"Mosvallahreppur (1922)";718;608;705;254;216;176;147;100;95;71
"Flateyrarhreppur (1922)";.;.;.;392;490;459;529;455;459;396
"Suğureyrarhreppur";179;361;444;436;437;411;430;503;500;365
"Hólshreppur (1974)";546;1021;953;816;751;784;858;978;.;.
"Eyrarhreppur (1918, 1971)";539;592;677;557;442;402;367;397;.;.
"Súğavíkurhreppur";535;581;529;444;335;305;259;255;253;229
"Ögurhreppur";380;383;277;261;194;125;127;63;51;36
"Reykjarfjarğarhreppur";237;198;185;126;157;105;99;121;93;43
"Nauteyrarhreppur";273;220;231;179;160;107;81;79;70;59
"Snæfjallahreppur (1964)";362;223;163;145;119;63;48;41;39;13
"Grunnavíkurhreppur (1964)";396;281;255;255;223;77;33;.;.;.
"Sléttuhreppur (1953)";439;463;476;470;405;34;-;-;-;-
"Árneshreppur";444;431;479;434;515;408;287;216;176;121
"Kaldrananeshreppur";342;322;325;383;473;478;347;228;193;167
"Hrófbergshreppur (1943, 1987)";201;230;258;344;473;70;59;47;28;.
"Hólmavíkurhreppur (1943, 1987)";.;.;.;.;.;443;420;331;398;475
"Kirkjubólshreppur";251;220;186;168;137;111;105;100;80;57
"Fellshreppur";99;114;108;99;102;100;78;75;66;66
"Óspakseyrarhreppur";109;120;97;104;95;70;71;67;58;46
"Bæjarhreppur";366;320;323;301;287;228;209;224;185;134
