Höfuðborgarsvæðið,0,1999
Suðurnes,2000,2999
Vesturland,3000,3999
Vestfirðir,4000,4999
Norðurland vestra,5000,5999
Norðurland eystra,6000,6999
Austurland,7000,7699
Suðurland,7700,8999
