Fyrir,Eftir,Ártal
Hofshreppur Skaftafellssýslu,Sveitarfélagið Hornafjörður,1998
Hornafjarðarbær,Sveitarfélagið Hornafjörður,1998
Selfoss,Sveitarfélagið Árborg,1998
Stokkseyrarhreppur,Sveitarfélagið Árborg,1998
Eyrarbakkahreppur,Sveitarfélagið Árborg,1998
Sandvíkurhreppur,Sveitarfélagið Árborg,1998
Þverárhlíðarhreppur,Borgarbyggð,1998
Borgarbyggð,Borgarbyggð,1998
Borgarhreppur,Borgarbyggð,1998
Álftaneshreppur,Borgarbyggð,1998
Lundarreykjadalshreppur,Borgarfjarðarsveit,1998
Hálsahreppur,Borgarfjarðarsveit,1998
Reykholtsdalshreppur,Borgarfjarðarsveit,1998
Andakílshreppur,Borgarfjarðarsveit,1998
Skriðuhreppur,Hörgárbyggð,2001
Öxnadalshreppur,Hörgárbyggð,2001
Glæsibæjarhreppur,Hörgárbyggð,2001
Engihlíðarhreppur,Blönduósbær,2001
Hálshreppur,Þingeyjarsveit,2001
Ljósavatnshreppur,Þingeyjarsveit,2001
Bárðdælahreppur,Þingeyjarsveit,2001
Reykdælahreppur,Þingeyjarsveit,2001
Austur-Eyjafjallahreppur,Rangárþing eystra,2001
Vestur-Eyjafjallahreppur,Rangárþing eystra,2001
Austur-Landeyjahreppur,Rangárþing eystra,2001
Vestur-Landeyjahreppur,Rangárþing eystra,2001
Fljótshlíðarhreppur,Rangárþing eystra,2001
Hvolhreppur,Rangárþing eystra,2001
Vindhælishreppur,Skagabyggð,2001
Skagahreppur,Skagabyggð,2001
Skeiðahreppur,Skeiða- og Gnúpverjahreppur,2002
Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,2002
Þingvallahreppur,Bláskógabyggð,2002
Biskupstungnahreppur,Bláskógabyggð,2002
Laugardalshreppur,Bláskógabyggð,2002
Húsavík,Húsavíkurbær,2002
Reykjahreppur,Húsavíkurbær,2002
Holta- og Landsveit,Rangárþing ytra,2002
Djúpárhreppur,Rangárþing ytra,2002
Rangárvallahreppur,Rangárþing ytra,2002
Kirkjubólshreppur,Hólmavíkurhreppur,2002
Stöðvarhreppur,Austurbyggð,2003
Búðahreppur,Austurbyggð,2003
Gerðahreppur,Sveitarfélagið Garður,2004
Bessastaðahreppur,Sveitarfélagið Álftanes,2004
Hríseyjarhreppur,Akureyri,2004
Austur-Hérað,Fljótsdalshérað,2004
Fellahreppur,Fljótsdalshérað,2004
Norður-Hérað,Fljótsdalshérað,2004
Bólstaðarhlíðarhreppur,Húnavatnshreppur,2004
Sveinsstaðahreppur,Húnavatnshreppur,2004
Svínavatnshreppur,Húnavatnshreppur,2004
Torfalækjarhreppur,Húnavatnshreppur,2004
Hvalfjarðarstrandarhreppur,Hvalfjarðarsveit,2004
Innri-Akraneshreppur,Hvalfjarðarsveit,2004
Leirár- og Melahreppur,Hvalfjarðarsveit,2004
Skilmannahreppur,Hvalfjarðarsveit,2004
Borgarfjarðarsveit,Borgarbyggð,2005
Hvítársíðuhreppur,Borgarbyggð,2005
Kolbeinsstaðahreppur,Borgarbyggð,2005
Mjóafjarðarhreppur,Fjarðabyggð,2005
Fáskrúðsfjarðarhreppur,Fjarðabyggð,2005
Austurbyggð,Fjarðabyggð,2005
Vatnsleysustrandarhreppur,Sveitarfélagið Vogar,2006
Húsavíkurbær,Norðurþing,2006
Kelduneshreppur,Norðurþing,2006
Öxarfjarðarhreppur,Norðurþing,2006
Raufarhafnarhreppur,Norðurþing,2006
Siglufjörður,Fjallabyggð,2006
Ólafsfjarðarbær,Fjallabyggð,2006
Gaulverjabæjarhreppur,Flóahreppur,2006
Hraungerðishreppur,Flóahreppur,2006
Villingaholtshreppur,Flóahreppur,2006
Saurbæjarhreppur Dalasýslu,Dalabyggð,2006
Áshreppur,Húnavatnshreppur,2006
Hólmavíkurhreppur,Strandabyggð,2006
Broddaneshreppur,Strandabyggð,2006
Skeggjastaðahreppur,Langanesbyggð,2006
Þórshafnarhreppur,Langanesbyggð,2006
Höfðahreppur,Sveitarfélagið Skagaströnd,2007
Aðaldælahreppur,Þingeyjarsveit,2008
Grímseyjarhreppur,Akureyri,2009
Hörgárbyggð,Hörgársveit,2010
Arnarneshreppur,Hörgársveit,2010
Bæjarhreppur Strandasýslu,Húnaþing vestra,2012
Sveitarfélagið Álftanes,Garðabær,2013
Austur- Hérað,Fljótsdalshérað,2004
Norður- Hérað,Fljótsdalshérað,2004
Ölfushreppur,Sveitarfélagið Ölfus,2004
Hofshreppur,Sveitarfélagið Skagafjörður,1998
Snæfjallahreppur,Ísafjarðarkaupstaður,1964
Ólafsvíkurkaupstaður,Snæfellsbær,1994
Grímsneshreppur,Grímshreppur,Laugardalshreppur,1905
Breiðdalshreppur,Breiðdalshreppur,Stöðvarhreppur,1905
Hálshreppur,Flateyjarhreppur,Hálshreppur,1907
Ljósavatnshreppur,Bárðdælahreppur,Ljósavatnshreppur,1907
Sauðárhreppur,Sauðárkrókshreppur,Skarðshreppur Skagafjarðarsýslu,1907
Rauðasandshreppur,Patrekshreppur,Rauðasandshreppur,1907
Fáskrúðsfjarðarhreppur,Búðahreppur,Fáskrúðsfjarðarhreppur,1907
Reyðarfjarðarhreppur,Eskifjarðarhreppur,Helgustaðahreppur,Reyðarfjarðarhreppur,1907
Skriðuhreppur,Skriðuhreppur,Öxnadalshreppur,1910
Neshreppur innan Ennis,Fróðárhreppur,Ólafsvíkurhreppur,1911
Arnarneshreppur,Arnarneshreppur,Árskógshreppur,1911
Húsavíkurhreppur,Húsavíkurhreppur,Tjörneshreppur,1912
Borgarhreppur,Borgarhreppur,Borgarneshreppur,1913
Norðurfjarðarhreppur S-Múlasýslu,Neshreppur,Norðurfjarðarhreppur,1913
Torfalækjarhreppur,Blönduósshreppur,Torfalækjarhreppur,1914
Skarðsstrandarhreppur,Klofningshreppur,Skarðshreppur Dalasýslu,1918
Mosvallahreppur,Flateyrarhreppur,Mosvallahreppur,1922
Árskógshreppur,Árskógshreppur,Hríseyjarhreppur,1930
Tjörneshreppur,Reykjahreppur,Tjörneshreppur,1932
Blönduóskauptún,Blönduóshreppur,1936
Ásahreppur,Ásahreppur,Djúpárhreppur,1938
Kirkjuhvammshreppur,Hvammstangahreppur,Kirkjuhvammshreppur,1938
Vindhælishreppur,Höfðahreppur,Skagahreppur,Vindhælishreppur,1939
Geithellnahreppur,Búlandshreppur,Geithellnahreppur,1940
Keflavíkurhreppur,Keflavíkurhreppur,Njarðvík,1942
Presthólahreppur,Presthólahreppur,Raufarhafnarhreppur,1945
Svarfaðardalshreppur,Dalvíkurhreppur,Svarfaðardalshreppur,1946
Ölfushreppur,Hveragerðishreppur,Ölfushreppur,1946
Selfossbyggð,Selfoss,1947
Sandvíkurhreppur,Sandvíkurhreppur,Selfoss,1946
Nesjahreppur,Hafnarhreppur,Nesjahreppur,1946
Sauðaneshreppur,Sauðaneshreppur,Þórshafnarhreppur,1947
Hofshreppur,Hofshreppur,Hofsóshreppur,1948
Seltjarnarneshreppur,Kópavogur,Seltjarnarneshreppur,1948
Ytri-Akraneshreppur,Akranes,1942
Kópavogshreppur,Kópavogur,1955
Grindavíkurhreppur,Grindavík,1974
Miðneshreppur,Sandgerði,1990
Garðahreppur,Garðabær,1976
Njarðvíkurhreppur,Njarðvík,1976
Borgarnes,Borgarbyggð,1994
Neshreppur utan Ennis,Snæfellsbær,1994
Ólafsvíkurhreppur,Ólafsvík,1983
Eyrarsveit,Grundarfjarðarbær,????
Staðarhreppur Skagafjarðarsýslu,Sveitarfélagið Skagafjörður,1998
Suðurfjarðahreppur,Vesturbyggð,1994
Hólshreppur,Bolungarvík,????
Sauðárkrókshreppur,Sauðárkrókskaupstaður,1947
Ólafsfjörður,Fjallabyggð,2006
Dalvíkurhreppur,Dalvíkurbyggð,1974
Hvanneyrarhreppur,Siglufjörður,1918
Eskifjörður,Eskifjarðarhreppur,1907
Eskifjarðarhreppur,Helgustaðahreppur,1988
Ólafsfjarðarhreppur,Fjallabyggð,2006
