Framlög til sveitarfélaga 2006-2014  ,,
,,
Ár,Sveitarfélag,Framlög á íbúa Alls
2013,Fjallabyggð,160533
2013,Ólafsfjarðarbær,.
2013,Dalvíkurbyggð,195983
2013,Grímseyjarhreppur,.
2013,Arnarneshreppur,.
2013,Eyjafjarðarsveit,257623
2013,Hörgárbyggð,.
2013,Hörgársveit,259742
2013,Svalbarðsstrandarhreppur,163947
2013,Grýtubakkahreppur,254922
2013,Skútustaðahreppur,181800
2013,Aðaldælahreppur,.
2013,Tjörneshreppur,67917
2013,Þingeyjarsveit,293525
2013,Kelduneshreppur,.
2013,Öxarfjarðarhreppur,.
2013,Raufarhafnarhreppur,.
2013,Svalbarðshreppur,204377
2013,Þórshafnarhreppur,.
2013,Langanesbyggð,318020
2013,Seyðisfjarðarkaupstaður,146746
2013,Fjarðabyggð,72827
2013,Skeggjastaðahreppur,.
2013,Vopnafjarðarhreppur,216654
2013,Fljótsdalshreppur,39259
2013,Borgarfjarðarhreppur,389271
2013,Mjóafjarðarhreppur,.
2013,Fáskrúðsfjarðarhreppur,.
2013,Breiðdalshreppur,247886
2013,Djúpavogshreppur,278186
2013,Austubyggð,.
2013,Fljótsdalshérað,180220
2013,Sveitarfélagið Hornafjörður,195673
2013,Vestmannaeyjabær,60212
2013,Sveitarfélagið Árborg,112151
2013,Mýrdalshreppur,230008
2013,Skaftárhreppur,240423
2013,Ásahreppur,7652
2013,Rangárþing eystra,196725
2013,Rangárþing ytra,178059
2013,Gaulverjabæjarhreppur,.
2013,Hraungerðishreppur,.
2013,Villingaholtshreppur,.
2013,Hrunamannahreppur,209280
2013,Hveragerðisbær,150369
2013,Sveitarfélagið Ölfus,131655
2013,Grímsnes- og Grafningshreppur,22173
2013,Skeiða- og Gnúpverjahreppur,86569
2013,Bláskógabyggð,135855
2013,Flóahreppur,284362
2014,Reykjavíkurborg,27973
2014,Kópavogsbær,22939
2014,Seltjarnarneskaupstaður,36841
2014,Garðabær,39961
2014,Hafnarfjarðarkaupstaður,36632
2014,Sveitarfélagið Álftanes,.
2014,Mosfellsbær,63127
2014,Kjósarhreppur,54492
2014,Reykjanesbær,129738
2014,Grindavíkurbær,138213
2014,Sandgerðisbær,118864
2014,Sveitarfélagið Garður,228796
2014,Sveitarfélagið Vogar,264519
2014,Akraneskaupstaður,102939
2014,Hvalfjarðarstrandarhreppur,.
2014,Skilmannahreppur,.
2014,Innri-Akraneshreppur,.
2014,Leirár- og Melahreppur,.
2014,Skorradalshreppur,4810
2014,Borgarfjarðarsveit,.
2014,Hvalfjarðarsveit,5829
2014,Hvítársíðuhreppur,.
2014,Borgarbyggð,207387
2014,Kolbeinsstaðahreppur,.
2014,Grundarfjarðarbær,155329
2014,Helgafellssveit,194316
2014,Stykkishólmsbær,153891
2014,Eyja- og Miklaholtshreppur,226690
2014,Snæfellsbær,214457
2014,Saurbæjarhreppur,.
2014,Dalabyggð,363151
2014,Bolungarvíkurkaupstaður,204078
2014,Ísafjarðarbær,186981
2014,Reykhólahreppur,484409
2014,Tálknafjarðarhreppur,309684
2014,Vesturbyggð,284426
2014,Súðavíkurhreppur,521200
2014,Árneshreppur,275569
2014,Kaldrananeshreppur,343792
2014,Bæjarhreppur,.
2014,Broddaneshreppur,.
2014,Hólmavíkurhreppur,.
2014,Strandabyggð,348165
2014,Siglufjarðarkaupstaður,.
2014,Sveitarfélagið Skagafjörður,175774
2014,Húnaþing vestra,394916
2014,Áshreppur,.
2014,Blönduóssbær,236078
2014,Sveitarfélagið Skagaströnd,177200
2014,Skagabyggð,411611
2014,Húnavatnshreppur,270520
2014,Akrahreppur,378373
2014,Akureyrarkaupstaður,76218
2014,Húsavíkurbær (Norðurþing),193680
2014,Fjallabyggð,164976
2014,Ólafsfjarðarbær,.
2014,Dalvíkurbyggð,205133
2014,Grímseyjarhreppur,.
2014,Arnarneshreppur,.
2014,Eyjafjarðarsveit,269017
2014,Hörgárbyggð,.
2014,Hörgársveit,273098
2014,Svalbarðsstrandarhreppur,163464
2014,Grýtubakkahreppur,218447
2014,Skútustaðahreppur,140544
2014,Aðaldælahreppur,.
2014,Tjörneshreppur,83729
2014,Þingeyjarsveit,323556
2014,Kelduneshreppur,.
2014,Öxarfjarðarhreppur,.
2014,Raufarhafnarhreppur,.
2014,Svalbarðshreppur,197190
2014,Þórshafnarhreppur,.
2014,Langanesbyggð,319526
2014,Seyðisfjarðarkaupstaður,149589
2014,Fjarðabyggð,79959
2014,Skeggjastaðahreppur,.
2014,Vopnafjarðarhreppur,243610
2014,Fljótsdalshreppur,9038
2014,Borgarfjarðarhreppur,431560
2014,Mjóafjarðarhreppur,.
2014,Fáskrúðsfjarðarhreppur,.
2014,Breiðdalshreppur,230514
2014,Djúpavogshreppur,335135
2014,Austubyggð,.
2014,Fljótsdalshérað,195738
2014,Sveitarfélagið Hornafjörður,212486
2014,Vestmannaeyjabær,71710
2014,Sveitarfélagið Árborg,114921
2014,Mýrdalshreppur,240755
2014,Skaftárhreppur,230023
2014,Ásahreppur,8902
2014,Rangárþing eystra,209403
2014,Rangárþing ytra,185894
2014,Gaulverjabæjarhreppur,.
2014,Hraungerðishreppur,.
2014,Villingaholtshreppur,.
2014,Hrunamannahreppur,193728
2014,Hveragerðisbær,177526
2014,Sveitarfélagið Ölfus,137511
2014,Grímsnes- og Grafningshreppur,20794
2014,Skeiða- og Gnúpverjahreppur,87850
2014,Bláskógabyggð,136166
2014,Flóahreppur,297211
