Framlög til sveitarfélaga 2006-2014  ,,
,,
Ár,Sveitarfélag,Framlög á íbúa Alls
2007,Seyðisfjarðarkaupstaður,148531
2007,Fjarðabyggð,52933
2007,Skeggjastaðahreppur,.
2007,Vopnafjarðarhreppur,192953
2007,Fljótsdalshreppur,18669
2007,Borgarfjarðarhreppur,277481
2007,Mjóafjarðarhreppur,.
2007,Fáskrúðsfjarðarhreppur,.
2007,Breiðdalshreppur,280073
2007,Djúpavogshreppur,216271
2007,Austubyggð,.
2007,Fljótsdalshérað,52279
2007,Sveitarfélagið Hornafjörður,241503
2007,Vestmannaeyjabær,118019
2007,Sveitarfélagið Árborg,62950
2007,Mýrdalshreppur,239110
2007,Skaftárhreppur,238336
2007,Ásahreppur,105424
2007,Rangárþing eystra,224338
2007,Rangárþing ytra,168759
2007,Gaulverjabæjarhreppur,.
2007,Hraungerðishreppur,.
2007,Villingaholtshreppur,.
2007,Hrunamannahreppur,208526
2007,Hveragerðisbær,113107
2007,Sveitarfélagið Ölfus,104142
2007,Grímsnes- og Grafningshreppur,118375
2007,Skeiða- og Gnúpverjahreppur,157462
2007,Bláskógabyggð,106736
2007,Flóahreppur,314326
2008,Reykjavíkurborg,11951
2008,Kópavogsbær,11326
2008,Seltjarnarneskaupstaður,15666
2008,Garðabær,14030
2008,Hafnarfjarðarkaupstaður,24190
2008,Sveitarfélagið Álftanes,74631
2008,Mosfellsbær,38462
2008,Kjósarhreppur,76514
2008,Reykjanesbær,66730
2008,Grindavíkurbær,104600
2008,Sandgerðisbær,85825
2008,Sveitarfélagið Garður,149035
2008,Sveitarfélagið Vogar,139741
2008,Akraneskaupstaður,52530
2008,Hvalfjarðarstrandarhreppur,.
2008,Skilmannahreppur,.
2008,Innri-Akraneshreppur,.
2008,Leirár- og Melahreppur,.
2008,Skorradalshreppur,72920
2008,Borgarfjarðarsveit,.
2008,Hvalfjarðarsveit,102076
2008,Hvítársíðuhreppur,.
2008,Borgarbyggð,166913
2008,Kolbeinsstaðahreppur,.
2008,Grundarfjarðarbær,161457
