Nemendur í grunnskólum eftir kyni og landsvæðum 1997-2014,,,
,,,
Ár,Landsvæði,Kyn,Alls
2012,Vestfirðir,Alls,903
2012,Norðurland vestra,Alls,1034
2012,Norðurland eystra,Alls,4082
2012,Austurland,Alls,1673
2012,Suðurland,Alls,3284
2013,Alls,Alls,42734
2013,Höfuðborgarsvæði,Alls,26643
2013,Reykjavík,Alls,14177
2013,Hbsv. utan Reykjavíkur,Alls,12466
2013,Suðurnes,Alls,3098
2013,Vesturland,Alls,2195
2013,Vestfirðir,Alls,882
2013,Norðurland vestra,Alls,1006
2013,Norðurland eystra,Alls,4028
2013,Austurland,Alls,1658
2013,Suðurland,Alls,3224
2014,Alls,Alls,43136
2014,Höfuðborgarsvæði,Alls,27085
2014,Reykjavík,Alls,14345
2014,Hbsv. utan Reykjavíkur,Alls,12740
2014,Suðurnes,Alls,3174
2014,Vesturland,Alls,2230
2014,Vestfirðir,Alls,858
2014,Norðurland vestra,Alls,1008
2014,Norðurland eystra,Alls,3926
2014,Austurland,Alls,1624
2014,Suðurland,Alls,3231
